State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,sex_ratio,literacy rate
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,64732,448,485,249,18086,29,45,44514,0,44514,14750,48746,354,17865,2563,1221.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,415669,2974,1568,1396,15377,94,83,188704,20709,167995,122659,16822,2623,91322,7010,1061.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,981412,9460,876,4081,2628,43,86,462825,31696,431129,293739,12787,5333,214491,16401,993.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,791449,11810,2025,4047,3262,185,197,375165,95896,279269,215777,8755,9177,172754,24127,1093.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,476830,33215,577,15501,2645,236,86,192156,21054,171102,160745,11262,2220,91509,8593,1090.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,548579,14678,1452,13926,574,591,110,244296,51509,192787,164536,25645,5250,119866,14478,1137.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,480138,14275,390,26009,56,70,10,205217,20126,185091,115491,8601,2412,105929,8238,1024.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,187621,220614,472,422,21,22,42,133617,11350,122267,53408,39216,596,61831,3077,1088.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,1289240,107489,12104,114272,470,1987,321,502609,248043,254566,377991,69193,19905,294739,46657,1136.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,10341,108239,604,1171,20126,28,4,48144,7774,40370,18,122336,235,15824,1005,1234.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,540063,64234,1828,9551,24,16,2,214847,33473,181374,141224,53307,1443,109422,6112,1123.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,13840,535159,1109,9440,35,6,18,169223,21703,147520,402,22607,1537,73629,5293,1096.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,32604,431279,958,11188,83,10,2,147408,15269,132139,556,176101,346,62900,3342,1120.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,42540,1177342,2746,12187,285,74,2,262239,257721,4518,1068,8935,16413,165403,33831,1112.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,489044,59771,1962,3418,106,57,235,183360,34696,148664,138569,56309,1214,73999,5744,1149.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,1636460,241451,13730,4174,1890,2045,160524,508764,258452,250312,299227,255626,9754,274726,37997,1084.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,903179,116710,6565,888,35,129,12936,215502,14528,200974,340553,45563,590,27037,9115,1049.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,1165140,302626,6027,143,188,282,16067,321710,64337,257373,190036,180962,1944,130193,13550,1081.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,2149480,431762,11243,9727,331,1268,77182,664219,405455,258764,437309,233119,11568,427173,46646,1100.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,1044726,106865,86404,234,267,162,78622,326978,23281,303697,79614,571077,1193,62110,10396,1024.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,1104475,194680,17168,123,371,20,4591,292052,19180,272872,319946,205874,565,29373,8881,1069.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1856202,508586,14645,937,650,1503,59218,499450,46886,452564,325493,238188,1944,125431,19976,1060.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,937126,289182,37795,97,128,115,47067,292030,15576,276454,115567,279208,874,43230,11925,1067.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,309563,51429,202449,221,531,23,457468,233074,16445,216629,32459,706754,831,31687,7807,1007.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,550560,164406,4419,520,118,783,68564,185668,20113,165555,72885,240489,808,49419,4959,1048.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,473049,69808,47653,120,128,16,133525,160514,14137,146377,154910,331096,340,38194,6240,1035.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,112378,95012,16770,51,33,15,235987,111484,14725,96759,15330,262734,351,28769,2954,1015.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,410127,322963,75865,356,283,222,88760,217175,16587,200588,28469,379054,328,31414,4535,1011.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,1683169,238295,6164,734,188,284,5681,407904,52375,355529,536382,181208,2155,68238,19981,1078.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1612239,410759,193974,4826,932,2733,677445,730982,310242,420740,152943,1042016,22538,350908,76565,1053.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,628044,398243,83208,198,245,125,38426,260993,37543,223450,72341,308343,591,34879,9563,1050.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,201524,15103,306601,51,753,114,73930,155283,11114,144169,44674,424407,423,16865,4649,1003.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,1634229,219991,3433,443,412,25198,166,490657,165858,324799,319149,97203,3745,301389,26297,1011.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,890429,92252,5368,389,272,1045,85,326462,95410,231052,213700,52903,3729,214253,17066,1057.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,4038331,528412,18418,2037,1086,178310,149,1318975,356198,962777,577418,297198,17560,808827,73497,1028.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,2103633,320834,14014,1029,284,8044,54,623480,251876,371604,517409,451406,9626,440374,40190,1018.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,1289709,335184,35438,1145,30453,680,521,389403,102269,287134,399785,235822,3971,271439,36072,1046.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,245151,1617,2709,68,1649,15,3793,58391,7942,50449,10122,204189,117,12516,1462,1017.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1786830,369588,2433,558,374,8665,499,527490,131041,396449,442773,39314,4987,326594,36571,1042.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,1004553,101235,26000,182,109,4710,4,392426,80766,311660,253651,44970,4510,238505,18727,992.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,1520553,128751,3175,322,84,3778,128,447348,97644,349704,389117,302554,5711,307257,28897,1027.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,1658465,265805,5420,307,164,6417,1743,530691,176011,354680,392595,233112,7320,372671,39416,1028.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,1390020,386834,28747,1486,715,29037,2748,483104,283397,199707,177855,87548,15013,347962,49585,1030.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,907750,143665,3432,231,79,5993,74,291972,111906,180066,174196,61654,3373,198064,15625,1018.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,2011014,513125,8344,826,9589,4865,330,600007,199303,400704,648782,65259,9752,404767,52483,1029.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,1630814,120011,15611,289,623,5820,3,628981,132878,496103,345031,32329,4851,400702,23444,990.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,1281878,297927,2406,419,68,9834,702,413564,98488,315076,219976,141380,2456,295937,17819,1052.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,448986,87274,17130,139,126,250,220,212974,31792,181182,73584,58054,3308,113931,10758,981.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,1305431,199873,26722,253,150,2494,92,477609,151042,326567,465867,78875,5051,309494,27235,1022.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,1218024,161770,4081,296,85,2898,461,337649,64681,272968,258608,164271,2135,223166,15263,1014.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,1712695,77801,8506,322,299,3607,109,562302,103435,458867,265294,22402,3367,391033,20265,1005.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,2631985,290549,39361,1255,16194,14419,493,920982,380386,540596,536643,334547,28397,640868,80086,1015.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,1634062,272022,10394,538,2265,4156,29,455848,125402,330446,400933,367071,5200,314547,33903,1000.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,1479424,234664,26521,400,120,9234,367,554106,201662,352444,308158,65412,8791,363835,35207,1002.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,2413812,245923,9130,477,187,5067,161,890242,204799,685443,506901,209559,7971,562769,41751,1017.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,1009179,96740,65838,232,161,4534,155,385389,115572,269817,75429,52897,9070,224814,24817,914.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1460447,224545,435056,268,146,74,311,723536,392117,331419,201211,6574,28842,507913,71593,909.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1509557,514397,1248137,860,614,1176,1083,1174691,804997,369694,268411,16559,88737,771287,184167,974.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,541854,82206,481507,100,189,44,384,412433,20823,391610,145486,55815,8250,244844,24863,994.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1509592,742483,262526,424,1118,193,722,872479,566191,306288,83350,41371,32653,511167,83940,881.0,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,729987,486913,87454,151,362,130,152,417805,166164,251641,53283,48857,10378,237670,32484,926.0,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,1697635,508500,421598,208,272,63,619,925130,401415,523715,328263,10761,31542,630767,83133,898.0,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,983598,126499,858608,204,358,83,565,678161,196194,481967,153909,21972,37849,464039,83999,962.0,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,1734958,1211131,131516,297,235,601,588,990336,666543,323793,199191,15228,36791,641660,107602,911.0,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,1135259,2888849,81556,205,179,68,579,1157129,522586,634543,308266,22990,27909,730119,119918,911.0,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,1875980,812936,114397,220,238,78,400,894341,228442,665899,403833,48972,27162,587583,69440,937.0,80.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,2194057,452915,630573,404,301,76,1082,1169117,609824,559293,372977,26759,71621,783872,155321,920.0,84.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,1823442,532839,757484,259,278,62,585,1051867,715119,336748,324350,9430,56148,721625,132774,903.0,86.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,404460,234185,174453,61,312,1797,286,277988,11805,266183,32578,151443,4712,149864,15944,966.0,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,686524,21473,2132,606,86,1653,35434,207713,60325,147388,74385,358543,1290,81338,7266,1024.0,58.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,778214,40707,635,8009,1352,15094,27,206741,37135,169606,175764,82072,619,84720,6016,1106.0,56.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,1519384,38542,5295,1050,72162,4778,58064,470867,70793,400074,125426,383026,1712,277927,13306,980.0,67.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,1318869,58222,2967,2361,416,2289,263,299270,48912,250358,87991,962145,1158,181139,8516,1019.0,40.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,1505745,37590,3271,1078,9651,3759,13048,406649,87704,318945,159296,667018,2109,230974,13755,1030.0,60.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,1595400,66776,973,4047,12215,19950,73,359596,88385,271211,374799,6131,1166,107819,14368,1194.0,64.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,1755861,525434,23432,10789,21688,25950,335,700719,581826,118893,357516,69429,40788,452912,94729,1089.0,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,552526,180840,1199,1074,19883,1884,99,178840,62861,115979,64254,230095,986,112420,5058,1052.0,54.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,1676918,70351,1980,968,250,10409,102,470917,95048,375869,405313,73597,1880,176056,15567,1133.0,54.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,1923920,100692,4893,2258,24471,7830,25771,553944,140802,413142,232244,769778,3588,344875,20034,1037.0,62.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,1186420,47966,1681,1096,119,25005,82,369901,66514,303387,246337,166295,1432,187731,10504,1099.0,59.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,747693,28483,683,490,7923,453,10,203854,43401,160453,200270,15061,616,97696,5251,1146.0,62.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,1376591,174259,2355,2330,382,6497,72,376009,101014,274995,292007,272701,3518,270457,16523,1062.0,59.0
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,2051219,116202,2261,1607,328,12199,88,515712,103364,412348,145436,1222814,2388,349639,18626,1037.0,49.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,605435,6736,4238,260,61,687,84006,227795,9774,218021,39782,455789,554,62372,6447,998.0,54.0
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,1172248,49203,1208,3271,529,13474,52,285085,72320,212765,193115,190819,2482,144248,11740,1097.0,53.0
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,1835299,141735,4119,24790,4361,18058,217,444892,272172,172720,393068,72133,15779,306859,46454,1158.0,67.0
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,527462,38640,683,676,93,1573,55,144559,31845,112714,92865,159678,986,95066,5376,1070.0,62.0
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,1175203,52269,4453,3127,1550,3888,107,315396,105746,209650,205007,197300,2871,198076,14456,1095.0,65.0
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,2728225,415142,18523,25696,11496,71667,720,788318,587947,200371,545239,217679,48691,593576,111478,1078.0,70.0
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,2159065,203652,23142,13256,4320,33728,21010,624761,352477,272284,348029,375231,20443,452023,58601,1077.0,71.0
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,960925,15733,38423,141,65,8871,388,235793,24713,211080,17427,891818,744,125411,5591,1010.0,34.0
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,1240650,37232,3158,1167,157,5342,2643,349031,72880,276151,155717,317699,2179,172416,13094,1051.0,61.0
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,849518,16558,12450,436,297,1789,170533,316932,37258,279674,48425,610528,912,143803,9042,992.0,57.0
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,1192588,125548,1120,849,242,19029,77,384119,81832,302287,249024,33092,2324,239885,12507,1038.0,62.0
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1875495,76159,1092,557,3234,6681,92,414586,95288,319298,421519,17030,1781,131486,20172,1190.0,60.0
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,741288,67324,1508,1110,224,14165,115,242197,67962,174235,111162,71441,1945,145258,8342,1048.0,62.0
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,974748,35214,418,186,37,4734,218,288923,32179,256744,207990,170879,653,76097,8501,1104.0,54.0
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,1195235,120331,1725,2262,253,10637,190,325713,74441,251272,225891,205006,1141,194373,9931,1109.0,62.0
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,1433879,106928,1243,460,121,1599,50,401717,69823,331894,295718,53751,1611,231130,12718,1046.0,52.0
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,1267043,151071,3996,1353,175,29353,123,373867,107151,266716,198612,409865,3644,213825,14905,1030.0,57.0
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,2268838,85414,1964,832,986,655,232,618399,94489,523910,383508,311985,3406,251132,31194,1075.0,61.0
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,2198297,103480,5580,4146,991,62992,168,613915,165507,448408,501630,221936,4546,366494,24811,1119.0,65.0
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,2158623,59471,2228,1163,364,3135,1689,576004,114173,461831,398569,319975,3754,294702,22751,1080.0,62.0
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,1163607,137980,1404,640,357,6232,66,329647,59220,270427,271281,145512,1566,212138,11166,1089.0,60.0
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,1145052,79739,1857,360,7288,4982,135315,382587,47542,335045,130797,519856,1182,228695,10417,1018.0,63.0
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,997073,42426,2372,912,268,1737,19448,291440,57846,233594,89733,476008,1733,113184,10817,1027.0,57.0
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,1321003,174724,815,631,179,13755,66,386608,73997,312611,353914,37836,1382,232735,10797,1066.0,59.0
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,638702,41396,230,6387,201,379,40,176522,26376,150146,108391,161448,273,74770,5393,1110.0,48.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,1648749,51200,1117,7151,3421,12171,72,434618,66759,367859,321515,227802,1852,148128,15304,1141.0,52.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,1077545,34419,511,128,92,93,12556,276869,25916,250953,130202,313304,837,102228,10790,1045.0,53.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,1383475,44143,588,251,109,15569,39,382992,60220,322772,361604,67857,1090,132725,10899,1110.0,52.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,1718204,233133,4659,3241,945,24622,211,489449,188684,300765,523869,48730,7501,323379,27733,1047.0,62.0
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,620515,15966,667,190,70,220,6028,168066,29966,138100,58147,300687,839,67975,6360,1053.0,55.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,1287391,149548,1313,914,295,18490,70,376409,83830,292579,292144,67603,1926,181510,12888,1116.0,59.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,1107809,357253,4483,1504,328033,10205,389,504235,196077,308158,364059,100280,6163,314490,24232,1058.0,78.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,2055177,421410,7223,2242,383891,11360,3288,781815,272894,508921,506374,404128,9438,512492,36185,1052.0,78.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2291133,237353,2218,295,334,775,19,477297,49006,428291,612064,1033,2362,44456,31168,1080.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,2545438,786677,15991,5142,309093,30981,1005,979132,427343,551789,539368,143366,23258,589477,69937,1083.0,68.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,1009352,26502,2145,831,154458,1017,3555,356418,72575,283843,200372,88886,2932,227025,13165,1018.0,75.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,2174672,320395,2097,824,68482,8719,399,698571,135457,563114,351254,32722,5614,402052,29198,1092.0,66.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1845424,354236,3531,1668,364229,12242,522,728192,152787,575405,470895,124837,4767,423036,24877,1071.0,73.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1780085,92297,10701,5251,286734,3861,23188,684655,233331,451324,348365,389441,8239,418666,31419,1040.0,72.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1825460,187901,3653,1422,13405,12818,912,528790,146013,382777,127571,647315,6065,315332,27139,1057.0,63.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,1153861,26157,1827,2160,125282,1568,5080,386515,66813,319702,175961,214253,2866,239981,13595,1001.0,76.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,863199,127552,992,643,176679,5278,103,284369,41913,242456,182565,111954,1221,159114,9676,1062.0,67.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,3457615,560261,7091,3091,143865,27404,9662,1169788,373565,796223,389273,604367,14297,720791,56775,1081.0,68.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1504641,274221,12542,1629,152540,9619,336,502830,98084,404746,272266,42263,3791,288895,17236,1067.0,61.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,3379906,286558,15573,1570,29766,154882,1274,1179314,382818,796496,504461,30206,22269,770005,71879,1045.0,73.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,2006984,367664,2387,935,66535,6387,310,585632,157016,428616,480913,57488,6217,381722,29758,1078.0,67.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,3492202,390974,34667,20469,668050,24528,12181,1308366,877522,430844,867713,437571,57964,917626,135750,1051.0,79.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,2501741,471951,3902,13540,354189,5049,1273,821682,230563,591119,640483,281695,7548,488748,43055,1061.0,65.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,1521618,96182,8467,685,4969,6191,2907,405012,71572,333440,47985,1141933,2579,186202,17047,1022.0,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,5237009,693052,23946,8912,94783,38212,1795,1668932,764271,904661,554687,1564369,45039,904710,138887,1070.0,71.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,1437623,178925,942,340,28216,4530,195,444990,77832,367158,265184,36039,3209,240042,18183,1082.0,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,1328385,306364,2081,1371,187899,6238,262,427239,133759,293480,247308,40514,3982,272486,21196,1056.0,63.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,8090254,673704,134192,27090,340404,127786,9873,3222457,2056739,1165718,1180703,348876,235018,1925019,490260,1093.0,76.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,1422986,17332,47653,2117,781,409,1782,420916,66638,354278,224942,505609,3342,297308,13857,1009.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,2239370,227465,17452,7477,121791,12260,1159,959028,377160,581868,134952,305125,38570,547206,96301,1042.0,74.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,1307211,187197,1990,230,113467,3347,95,639362,100824,538538,66948,20374,7752,367352,31062,891.0,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,2440312,239607,9098,1260,38210,87453,769,853673,226801,626872,353093,18333,13212,485126,49056,1036.0,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,2691952,146970,4408,1182,141315,12810,676,975471,200949,774522,323236,29635,14093,562653,57423,1012.0,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,780384,26264,15471,219,24762,1046,53,340836,44989,295847,55586,6976,3517,194228,15721,965.0,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,3795424,441254,9882,1279,35497,28134,568,1156231,376302,779929,649745,77592,15145,595560,59296,1066.0,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,8716055,1355630,280700,39149,449617,172052,9862,3618151,2904157,713994,730089,1542451,256170,2231800,551643,1129.0,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,1057096,53854,2696,2147,175417,5663,2254,388704,120218,268486,188830,149507,4313,266155,16260,1057.0,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,859949,142672,1707,518,179330,8476,381,330846,55921,274925,229462,80471,1875,196022,10757,1075.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,2251401,239236,4567,1596,249874,11422,3745,798132,168889,629243,328518,514057,6094,446516,29917,1050.0,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,175102,18691,4264,56,76,16,38457,56149,21172,34977,22113,3287,676,34364,3447,1001.0,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,10810,3086,129049,136,400,59,354,34160,3783,30377,540,128280,184,18764,1782,1071.0,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,12034,2886,254979,152,495,87,2333,57825,4853,52972,443,254787,837,29894,4496,1026.0,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,43833,1649,426819,140,2409,53,1243,39834,1826,38008,1000,419210,256,22798,2170,1067.0,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,2995,589,134760,59,425,57,1144,28101,4119,23982,22,134626,125,11541,1362,1060.0,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,267146,107323,4322,106,114,24,42347,104263,38302,65961,40593,1808,880,49507,5110,998.0,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,7553,1115,174112,108,635,70,32,41890,5806,36084,248,173606,276,14026,2437,1061.0,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,17272,3359,289708,56,1004,38,5617,74216,11518,62698,509,305180,288,24550,2368,1029.0,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,144935,14185,543394,2495,3111,303,115597,215091,108843,106248,5642,661158,5032,135941,19306,989.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,12456,1646,271596,34,284,45,107559,83717,7171,76546,1317,376099,510,41677,4333,987.0,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,7036,1050,132984,27,332,10,362,39643,3713,35930,319,134237,179,10940,1625,1058.0,58.0
