State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,sex_ratio,literacy rate
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,359145,371033,5924,384,236,871,9,220393,38470,181923,82784,18835,2523,49866,12959,1035.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,1038985,654816,37635,280,341,1673,98,435160,88933,346227,264897,17569,5316,140205,37541,1042.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,327322,597392,1688,431,57,724,19,288706,20189,268517,40260,8419,1166,45444,12084,1049.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,655052,13475,8711,297,911,167,6315,228262,16504,211758,44225,325560,1192,28195,10410,1049.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,1198401,64526,52968,2261,4673,1055,46,377015,77163,299852,58876,102871,8817,136685,34479,1041.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,347878,579929,77862,771,194,477,103,268114,39504,228610,45094,231570,1364,78641,13524,1037.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,917426,90312,50582,1131,3863,530,1347,327083,34190,292893,62298,111765,3073,82345,17636,1037.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,251194,397653,8480,84,490,247,636,175417,16202,159215,70659,691,1211,44143,10615,1051.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,1008219,54684,21051,1540,2378,719,578,367154,80824,286330,88665,139971,5651,122063,26357,1040.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,877495,601784,33297,319,185,1330,55,434445,43849,390596,107827,182038,3109,122191,23468,1053.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,766000,20290,157789,370,6260,397,3568,252876,37185,215691,44961,538738,1923,53918,11340,1052.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,521962,692489,11990,114,446,524,110,294640,32695,261945,157890,1940,1933,70951,24699,1038.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,529068,252271,101091,93,1718,396,123,222011,17115,204896,29570,278665,1218,41373,14063,1043.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,797130,193476,46217,412,1074,250,2410,327933,34694,293239,81840,249426,1948,60296,15011,1034.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1225246,1563203,26844,3036,1073,1162,61,799185,124186,674999,266350,115153,5121,195631,45956,1039.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,491582,277488,429,62,27,1004,9,238944,28238,210706,60216,23364,1631,68313,12360,1054.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,1422824,350536,138166,1363,5088,1003,221,547853,64528,483325,109130,232207,4358,133368,31254,1046.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,1181347,48373,76877,1999,16228,837,395,381614,90910,290704,37688,82066,5135,161718,27948,1050.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1593525,1207442,4116,371,187,1910,63,703274,44213,659061,382654,38848,2561,43290,29796,1085.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2291133,237353,2218,295,334,775,19,477297,49006,428291,612064,1033,2362,44456,31168,1080.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,2545438,786677,15991,5142,309093,30981,1005,979132,427343,551789,539368,143366,23258,589477,69937,1083.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1772655,250925,6138,139,113,94,1035,444096,18492,425604,247858,90432,1704,62359,22300,1103.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,2554330,407348,2209,402,229,276,57,733625,139248,594377,432270,1597,4644,120373,43127,1117.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,2487866,537098,3556,415,180,1050,32,653161,130634,522527,318569,67180,6764,174534,46929,1136.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,2518216,197819,2165,544,647,1472,48,511927,77368,434559,425402,13977,3661,62153,34658,1102.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1591454,105423,2125,248,5090,97,57,334657,35405,299252,251737,26824,1784,46760,19324,1085.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,3042729,881476,3534,832,245,236,101,1002713,95539,907174,615688,2772,6280,127442,53205,1097.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,3876395,488121,3943,913,870,1723,108,807571,111282,696289,1334351,3098,6856,112617,57011,1067.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,2119262,436057,2463,271,167,133,28,554058,38133,515925,320064,60807,3707,69375,33596,979.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1525746,217621,8443,162,159,87,3438,356760,30851,325909,302649,78793,1839,32633,22414,1085.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1045117,75742,691,148,248,60,58,214792,28132,186660,222974,1285,1106,27641,11302,1085.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1684589,1365645,8659,2754,212,507,2141,738070,69838,668232,263100,179971,2941,60900,27263,1088.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1486989,175588,1253,143,79,86,115,394703,21007,373696,247161,675,1580,40641,21654,1129.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,531236,1149095,5783,398,183,1476,28,445150,43357,401793,113118,64224,1093,58718,14073,1053.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,956396,40886,487,140,52,78,52,207645,31763,175882,153209,8333,1186,44491,8862,1109.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1753829,241760,1342,170,60,133,81,510278,24000,486278,346275,12532,1397,23236,23309,1098.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,3652168,818912,3262,564,328,442,169,1088786,41234,1047552,587158,3990,5319,113281,65548,1079.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,1252319,110416,1815,338,95,145,61,308063,85782,222281,183846,21404,2653,90461,17946,1141.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,4032773,745546,5149,933,288,382,98,1119394,120700,998694,751975,5979,10290,180651,73012,1112.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,2669775,198033,1978,393,414,561,64,616663,102522,514141,607672,1442,4156,101378,43848,1084.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1964620,244394,1299,250,176,279,80,424874,45323,379551,565112,2045,1841,31162,28411,1065.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3047427,865090,8469,926,1337,296,1895,936134,96620,839514,553944,250046,3495,57546,41143,1100.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,5356075,439952,12551,4803,1062,2151,203,1210094,552103,657991,920918,9069,40692,546859,132582,1115.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,4086453,990349,4865,668,878,464,104,1243825,101565,1142260,649726,12461,7719,74979,70258,1109.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1989420,1255641,7989,614,353,1450,650,798596,85749,712847,390991,139490,4170,86058,33664,1086.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,2645415,300487,2889,2569,1584,252,537,608061,95678,512383,549546,31650,4594,114893,36279,1090.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1629254,266620,1292,197,60,109,8,470697,38046,432651,317249,6009,1668,41342,19415,1104.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,3800598,452370,2126,554,292,231,112,1056465,43486,1012979,803128,1884,5379,88021,50918,1098.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,3534772,406449,2330,371,229,322,107,777622,76299,701323,474066,36786,4509,94787,37442,1049.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,596102,37653,313,75,41,43,31,132638,24345,108293,131115,617,631,20065,8873,1075.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,552492,99342,522,216,73,52,44,166000,7516,158484,96655,318,478,10004,6698,1120.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,2672311,740101,2897,261,253,188,20,856964,49670,807294,405714,2989,3460,66263,42461,1113.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,2712635,608282,2618,369,407,359,86,674372,41858,632514,386685,87000,3834,52935,37833,1012.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1809936,409251,3758,271,136,546,42,600102,27815,572287,354249,10168,1845,51028,25078,1076.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,3152346,333980,2203,707,362,246,71,750811,51494,699317,738031,2274,4810,70001,39564,1118.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,852574,51447,8720,138329,1160,1960,246,298367,289456,8911,199086,0,44283,231204,78113,1223.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1277975,12413,27951,2099,985,3466,86925,371319,54894,316425,37963,931780,1782,157646,9042,977.0,46.0
