State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,Total Power Parity,Non Workers,sex_ratio,literacy rate,GDP Per Capita,Unemployment Rate
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,1376591,174259,2355,2330,382,6497,72,376009,101014,274995,292007,272701,3518,270457,16523,1899,821039,1062.0,59.0,0.0012144156703747166,52.50566759287978
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,2051219,116202,2261,1607,328,12199,88,515712,103364,412348,145436,1222814,2388,349639,18626,2470,1157819,1037.0,49.0,0.0011300246638176626,52.970203491364465
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,605435,6736,4238,260,61,687,84006,227795,9774,218021,39782,455789,554,62372,6447,652,314599,998.0,54.0,0.0009254475362088445,44.65412108033225
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,1172248,49203,1208,3271,529,13474,52,285085,72320,212765,193115,190819,2482,144248,11740,1302,726622,1097.0,53.0,0.0010487153237284327,58.526852992181354
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,1835299,141735,4119,24790,4361,18058,217,444892,272172,172720,393068,72133,15779,306859,46454,2830,1346725,1158.0,67.0,0.0013926918617583547,66.2746624567675
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,527462,38640,683,676,93,1573,55,144559,31845,112714,92865,159678,986,95066,5376,619,339486,1070.0,62.0,0.0010850797156705494,59.51039941100681
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,1175203,52269,4453,3127,1550,3888,107,315396,105746,209650,205007,197300,2871,198076,14456,1535,763268,1095.0,65.0,0.0012365569742618923,61.48692955250332
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,2728225,415142,18523,25696,11496,71667,720,788318,587947,200371,545239,217679,48691,593576,111478,5783,2008502,1078.0,70.0,0.001764887018848554,61.29654343993357
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,2159065,203652,23142,13256,4320,33728,21010,624761,352477,272284,348029,375231,20443,452023,58601,3776,1457665,1077.0,71.0,0.0015329098615712569,59.17555755739582
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,960925,15733,38423,141,65,8871,388,235793,24713,211080,17427,891818,744,125411,5591,1612,509927,1010.0,34.0,0.0015726092826872497,49.7466460107234
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,1240650,37232,3158,1167,157,5342,2643,349031,72880,276151,155717,317699,2179,172416,13094,1476,748168,1051.0,61.0,0.0011423777245631334,57.90585754952239
