State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,Total Power Parity,Non Workers,sex_ratio,literacy rate,GDP Per Capita,Unemployment Rate
Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,8102,3444,236494,84,1256,314,1,51022,7415,43607,0,238285,178,14398,2844,381,102606,1112.0,48.0,0.0015224166866458883,40.99976024934068
Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,3563,950,158224,31,350,17,198,46198,7295,38903,0,157146,170,36182,1558,219,83141,1051.0,65.0,0.001340121651225691,50.876280458701
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,2979,1052,191864,27,572,5,1,50141,9451,40690,0,190916,155,24998,2251,228,98442,1077.0,60.0,0.0011597387535860343,50.07324665812123
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,5605,2043,158236,34,318,8,20,46669,8170,38499,0,156621,198,25268,1757,359,87931,1033.0,77.0,0.0021581912073246243,52.86125656023999
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,2580,772,136995,39,286,6,2,37311,6044,31267,0,136561,261,28846,2008,275,61291,1024.0,73.0,0.0019537216621553456,43.543837961877564
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,2197709,94254,6434,237,111,201,18345,683594,82440,601154,478586,275678,7370,296834,28289,2664,1387822,1045.0,70.0,0.001148014095061945,59.80627693082051
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,1398543,104202,745,169,81,111,61,428106,54244,373862,334896,30428,2637,164636,15609,1711,1037738,1019.0,73.0,0.0011358680029767575,68.891489752957
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,2457729,141263,11985,1026,6276,1180,168,790297,210768,579529,498633,93745,15046,349587,40589,3852,1688105,1064.0,77.0,0.0014677249120774861,64.32174877213303
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,1185542,4805,727,124,366,39,139,352369,36979,315390,234079,162056,1810,117172,10600,1334,757278,1056.0,70.0,0.0011183666146606628,63.48683907173894
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,353160,1556,219482,53,2180,66,4,175145,23050,152095,39175,313714,635,63112,5523,617,283884,959.0,45.0,0.0010678121273690459,49.13043403015141
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,3486059,13315,23975,590,174,170,76,1015394,219918,795476,688235,118928,9049,405298,41059,4377,2027259,1017.0,63.0,0.0012402838059512654,57.44520237991675
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,553587,12783,10462,1441,80,70,67,177186,73962,103224,104620,176758,2498,81433,7555,870,331798,1049.0,70.0,0.001501281265907973,57.25541626042916
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,1555367,4975,11160,796,175,1225,220,494748,38412,456336,286580,449456,1953,91171,12622,1562,824939,997.0,51.0,0.0009905705546878023,52.31499889971837
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,580300,2138,148895,82,290,47,23,242935,24489,218446,115544,392820,768,28736,6609,739,377761,965.0,55.0,0.0010080342649806987,51.528556424001856
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,1386792,50247,1423,169,62,52,24,438243,23494,414749,309780,9484,1628,173107,11836,1540,973471,993.0,76.0,0.0010691764078588632,67.58520954121919
Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,2147632,84060,12527,1264,475,476,434,688729,356895,331834,297472,115051,35701,349860,75588,4186,1459480,1076.0,78.0,0.001859062128470697,64.81758230435769
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,1294151,8850,68550,518,219,491,3384,460128,78339,381789,196540,697583,3988,85766,17294,1519,686241,969.0,41.0,0.0011010062718941874,49.74033212843575
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,600219,1871,10039,213,43,195,35,183723,15839,167884,138295,354614,448,24604,3908,564,302526,981.0,40.0,0.0009197771660426098,49.336260094717474
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,2113079,33706,15008,661,162,109,351714,753589,64479,689110,184682,1479576,2950,140189,17999,2747,1296204,994.0,54.0,0.001090192710511966,51.442015003147155
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,955754,5278,383,107,33,24,12,288334,26688,261646,136399,58691,1163,124984,8278,984,619156,1092.0,71.0,0.0010220307876388285,64.30858682431976
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,601092,4952,1778,724,76,905,22,209127,11869,197258,82159,206327,757,43976,4221,205,304944,979.0,49.0,0.0003358552513016439,49.9595335380139
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,1644905,46094,4239,193,243,94,302,474224,72210,402014,325133,6129,3416,201605,16006,2027,1077054,1038.0,76.0,0.0011932443649079018,63.403483779058476
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,874445,4607,84916,219,249,123,44,286548,49205,237343,139514,541905,1553,61543,9166,1074,500789,952.0,42.0,0.0011096061518052797,51.739157835792746
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,964188,20120,50637,2506,310,86,1117,315495,94798,220697,191827,355261,5231,126498,14521,1548,535259,1025.0,68.0,0.0014868902957355641,51.41288196415519
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,1532352,71391,385011,5713,710,721,89986,618062,230151,387911,191660,1062349,12787,223537,35024,3130,1220210,1028.0,64.0,0.0014951488867350677,58.28740009849831
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,152638,28835,18391,46,63,54,14,69333,33715,35618,35348,0,1868,47880,4870,4890,131921,955.0,77.0,0.024422890591443498,65.88736502482244
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,27940,12856,958,3,21,14,3,12110,12110,0,144,0,574,7150,1484,10027,30014,844.0,87.0,0.2397885976659652,71.7763535488808
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,53537,1191,873,3,1,4,4,15519,15519,0,8427,0,207,12859,597,10027,38866,964.0,71.0,0.18025743357422788,69.8702045805918
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,690939,12502,54344,1716935,876,3152,1044,660953,385476,275477,770864,0,29961,461231,63864,6979,1572800,1125.0,68.0,0.0028020730281500135,63.14802204720363
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,380569,16299,2474,984286,246,1266,559,355722,137563,218159,450473,0,11284,255650,32253,3365,838539,1152.0,61.0,0.002423434939954268,60.390630345150434
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,141363,3125,1227,469789,155,1109,103,158863,58917,99946,240328,0,4348,113549,12276,1540,395953,1123.0,62.0,0.0024938948159376074,64.12111260097035
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,152851,16808,1698,427521,48,178,251,174896,57337,117559,192493,0,5138,113683,14294,1640,385380,1148.0,71.0,0.0027325909794505827,64.21255558906496
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,906408,6844,19358,1090815,454,1143,278,502390,153868,348522,855726,0,10042,349662,31070,4283,1272379,1119.0,60.0,0.002110815081165103,62.707372919863936
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,1074332,27667,176587,1002874,405,580,812,606348,185488,420860,580576,0,14428,411216,38445,5982,1541185,1117.0,71.0,0.0026027673220865824,67.05693673169523
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,1000743,23089,14968,538208,3476,2034,531,551265,128592,422673,557504,0,13747,319930,34328,4305,1086803,1040.0,76.0,0.002713306546915623,68.49778618135981
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1394329,30233,26016,718363,11385,4011,805,708130,377791,330339,854444,0,39082,446200,79134,6883,1419118,1092.0,74.0,0.003137778709786241,64.69385801357592
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,336124,10190,5445,453692,6662,553,334,261203,95770,165433,276707,0,9732,161206,23145,2472,531003,1096.0,71.0,0.003032503729292612,65.14031463452933
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1502403,77713,16517,1863408,2007,19620,1254,1036821,641789,395032,923358,0,58589,703624,123400,10593,2213917,1145.0,73.0,0.0030276622520285165,63.277569432872816
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,156539,10375,917,598443,123,1577,493,196389,50786,145603,258878,0,2673,140099,10085,1694,441239,1132.0,55.0,0.0022007116587052177,57.32230292653079
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,158414,9388,3277,818921,178,436,365,288439,74144,214295,363417,0,7897,183396,21662,2774,636574,1119.0,63.0,0.0027858510101973796,63.929355478204286
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,254920,4333,1681,638625,240,744,433,224157,74650,149507,381554,0,4571,166585,14077,2025,566570,1116.0,58.0,0.0022452699646078925,62.81988167150093
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,783306,40043,5683,1059944,245,1914,1410,517369,218090,299279,465359,0,24274,352929,55105,5679,1235419,1122.0,67.0,0.002995749296033204,65.17002288353662
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,304481,14492,2094,361045,118,653,143,208699,60537,148162,180905,0,6600,129123,17542,2034,450951,1093.0,73.0,0.002970960829765697,65.86812965308117
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,389410,179116,2406,1077438,268,3222,1038,448944,156788,292156,461609,0,10736,305557,30955,3943,1086411,1130.0,61.0,0.0023822340800244567,65.63746662727492
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,2201663,314159,10605,6799,417,45614,184,684254,274919,409335,478027,63482,13499,393498,41732,4339,1529330,1052.0,59.0,0.0016797958384113056,59.20631872683941
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,3039279,547335,2696,64532,4384,13221,348,995261,212967,782294,653036,289249,9750,485723,45770,5732,1965637,1117.0,59.0,0.0015600764143499813,53.49867276471832
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,1701234,48834,22250,427,138,22613,109,429844,39407,390437,80091,1372999,2324,120603,15062,2734,880911,1020.0,46.0,0.0015210140835667614,49.00797503178052
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,1133349,79984,1432,3066,84,2795,48,318988,69804,249184,221184,276857,1363,161310,9491,1741,670172,1077.0,57.0,0.0014238338833208616,54.808363081729375
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,2244882,321192,1157,450,157,34010,34,598805,55980,542825,436414,176257,2766,126494,37730,3437,1401269,1109.0,46.0,0.0013200186961041973,53.81731970530208
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,2143046,371286,1576,23456,899,5758,18,609134,129697,479437,557305,54090,4179,288723,26106,3699,1477308,1137.0,58.0,0.0014514636671058858,57.96861008718199
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,2224839,142427,1978,1468,183,35149,60,675880,145865,530015,407947,229273,6207,373644,24014,3694,1260358,1028.0,52.0,0.001533720043362675,52.32908301062519
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,2073356,235741,1901,20072,285,30850,79,531933,196179,335754,493646,7779,7607,220793,29531,3411,1377729,1105.0,54.0,0.001442931854782932,58.281121705020055
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,1017688,66609,682,11059,144,13455,24,303288,63452,239836,210788,228549,1392,136969,7705,1723,584815,1081.0,53.0,0.0015509863120732087,52.64306791033625
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,1413163,97855,1274,1515,252,25843,136,455653,88873,366780,250224,201546,4941,268172,16560,3238,741583,1029.0,53.0,0.002096691268362237,48.01947501129934
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,1777879,249736,958,402,188,7104,127,493893,148996,344897,451721,11245,2577,231696,15259,3361,1136718,1064.0,56.0,0.0016479149536637301,55.733846780682185
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,1582335,45488,439,296,94,3737,115,420694,59610,361084,354337,433344,1719,195277,14539,2286,949914,1105.0,57.0,0.001398670712165682,58.119724010330344
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,1127520,72258,688,1356,92,2739,21,273296,58626,214670,245695,58594,1330,96086,9504,1641,683304,1182.0,57.0,0.0013601145778423163,56.63447480182609
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,1340065,28662,830,240,226,16141,853,354363,31547,322816,52267,983437,1477,141275,11742,2030,747037,1007.0,49.0,0.0014619546117106165,53.79971365854501
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,1437144,50688,2077,474853,938,1988,164,562594,164897,397697,720412,13477,6295,283142,24901,3332,1056496,1127.0,61.0,0.0016920851852152787,53.65189765423772
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,1433067,118673,1542,216997,241,1935,138,497753,108694,389059,494189,14289,3360,243163,16217,2709,939432,1104.0,58.0,0.0015264620565145952,52.93493180788553
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,5819980,687452,12708,18782,1020,81079,257,1732679,977838,754841,1003302,527966,76565,990085,182350,12219,4161285,1098.0,65.0,0.0018440494656195472,62.80068238432472
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,497045,168129,874,1723,98,1521,34,189947,30830,159117,99134,42429,754,43141,7416,986,381016,1174.0,46.0,0.0014718197274595883,56.8749356265459
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,1732852,78990,730,231,144,14640,82,467418,48202,419216,357196,178719,1585,161845,12794,2470,932086,1050.0,45.0,0.001350664122095662,50.969033154156165
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,1299751,96164,842,819,46,12488,42,362387,63763,298624,243582,182229,1750,220428,9403,1962,725179,1057.0,52.0,0.001390376074759997,51.38998631592151
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1905682,228178,1004,275,56,548,85,650809,150357,500452,360709,41629,4828,297559,24178,3300,1242396,1053.0,64.0,0.0015441883535442633,58.13616465727207
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,3224399,411558,6035,4123,514,36697,80,891657,307442,584215,608024,118924,19335,408808,54808,5708,2197424,1091.0,55.0,0.0015480728418717361,59.59657351922141
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,1370977,81553,602,297,70,3424,413,364355,59308,305047,354465,324960,1059,132079,13045,1987,829522,1162.0,55.0,0.001362594016929905,56.8848371470422
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1661307,243993,5665,11058,280,25742,286,515189,311735,203454,405408,183816,12843,339899,36297,3394,1202203,1098.0,67.0,0.0017396082242362176,61.61939381265332
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,2833443,454487,1912,366,163,12940,276,842201,166489,675712,699911,10418,4449,347344,35328,4863,1881861,1053.0,53.0,0.0014701867708585583,56.8926001808484
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1870543,143476,1345,1540,141,18974,52,652717,139808,512909,398096,144578,4043,326793,19270,3317,1195246,1013.0,53.0,0.0016279171347480556,58.66027867467815
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,1105676,33677,759,260,100,14966,68,365676,61054,304622,148168,160809,1989,193276,9222,1821,605766,1011.0,54.0,0.0015744464147840606,52.37485485437019
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,1165505,155681,945,812,177,9991,42,353321,71264,282057,278789,285848,1887,140947,14310,1900,757483,1115.0,56.0,0.0014226338043249564,56.7168906316569
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,2342076,327583,1122,356,177,4050,15,705834,178274,527560,418806,75349,5647,339457,28382,4033,1670829,1056.0,62.0,0.001506349789137175,62.40646942311622
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,996562,30479,1284,572,114,6829,56,308174,69639,238535,201863,292470,2146,134089,10297,1621,616517,1064.0,46.0,0.0015641494249989869,59.48949482122766
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,1243527,153146,754,378,122,22458,30,380666,81755,298911,287903,178207,1908,158264,12482,2145,772165,1050.0,53.0,0.0015091541279059133,54.327086115359876
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,2869976,104307,7406,4278,209,78647,373,848218,182769,665449,188525,1525289,14211,357846,48517,5101,1702637,1043.0,52.0,0.001662419095169501,55.48904647994733
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,1410852,178807,15792,53027,2643,46927,366,462218,461132,1086,281422,0,80037,352758,127465,7151,1129654,1132.0,79.0,0.004183471339330949,66.08691277248727
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,708397,7942,37403,104,88,65,42,254277,30322,223955,176230,10722,1749,177502,8371,1258,395043,986.0,64.0,0.0016664591320105868,52.33092328194422
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,3751322,439270,358662,2851,2804,51708,1759,1314125,1314125,0,779667,10061,217368,1096334,355838,15742,2829435,1011.0,81.0,0.003387757245307024,60.89085834948088
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,3044145,211035,190314,1112,435,3284,237,1169752,884957,284795,535911,28342,63273,896325,149920,13938,1890095,1000.0,76.0,0.004030601105537956,54.657906418221856
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,2391675,123749,83334,401,236,1280,138,758209,260780,497429,763944,15702,15396,598412,50938,5300,1436034,1014.0,70.0,0.002033835345295355,55.106730306525854
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,1452956,38304,14089,164,39,37,87,487926,91107,396819,245392,63044,3651,337972,18927,2364,755673,1057.0,61.0,0.0015688429385144968,50.14941835347146
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1879494,105012,169945,313,256,71,138,713542,269724,443818,452376,8064,9155,500057,38677,4682,1054620,1002.0,69.0,0.0021678184070099893,48.83008646734035
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,2115455,76098,55899,435,148,639,157,843684,432398,411286,369483,21880,18604,595211,58861,7719,1055971,1007.0,66.0,0.0034280095783534898,46.895695070132305
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,3537399,173785,256762,1620,990,4962,756,1213504,774705,438799,948081,41210,100322,961161,200738,8349,2324438,1014.0,75.0,0.00208816252702431,58.136355587391684
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,909872,78590,876299,160,438,156,10,598041,493788,104253,74249,7282,15673,465692,52943,4377,1190754,981.0,83.0,0.0023401736764946477,63.663951701638275
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,993666,53292,16483,115,29,7,79,364661,152420,212241,221385,575,4915,264949,17995,2151,521195,985.0,68.0,0.0020206802675076306,48.96180623075962
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,2760502,168881,97711,520,199,1532,305,1010441,592723,417718,408976,11096,34097,754141,95311,6917,1683620,1010.0,75.0,0.0022766380142266013,55.41409994957627
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,1435072,128617,47579,184,450,963,110,517740,118724,399016,509767,3756,5585,381940,19692,3026,944456,975.0,75.0,0.0018720034643818243,58.42778929134832
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,1673652,32483,16909,183,108,84,199,627484,257127,370357,345392,57059,8960,441044,31581,3824,828356,1014.0,68.0,0.0022147560438109328,47.97611028836425
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,521658,32702,10301,83,39,38,26,188592,33179,155413,175289,2584,1507,135751,7745,979,265497,997.0,66.0,0.0017320597357149302,46.97208004628261
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,1428784,114194,72850,119,81,32,293,503941,104229,399712,284804,1283,4494,354493,18272,2812,856652,985.0,69.0,0.0017375775869792906,52.93383054911036
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,1047411,208038,91139,154,86,29,36,417239,126761,290478,249008,1105,5172,291400,22379,2340,750468,1018.0,72.0,0.0017289213821027082,55.44872528990834
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,3326357,95487,53841,412,174,992,246,1170352,597539,572813,580512,119369,20660,835377,63867,8169,1787896,1048.0,66.0,0.002346027749122932,51.34598639424524
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,1186078,74310,75481,150,80,109,24,452417,143193,309224,227746,790,5773,314270,24456,2456,718930,997.0,72.0,0.0018340662877557405,53.68751124821802
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,2075870,190814,133971,231,795,1256,148,753372,274302,479070,455062,3561,13495,555582,42912,4914,1431811,966.0,74.0,0.002042487395516836,59.51273749007644
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,1148990,56751,37574,152,79,28,74,410623,221295,189328,258200,1835,4667,312310,18830,2642,654257,1009.0,70.0,0.002120557123811802,52.512844139051396
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,3325823,143093,233633,1422,951,3693,530,1119433,732196,387237,821646,47243,75634,909400,174279,7731,2190050,1013.0,75.0,0.0020737082441906127,58.74433760431575
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,1132785,96092,33192,258,151,279,64,408179,86848,321331,430927,3034,4416,303114,15535,2272,724109,983.0,75.0,0.0017970745335080841,57.2745529658453
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,2294369,91636,66987,232,157,7898,110,710163,147061,563102,565329,90954,6445,549077,27529,4189,1226698,1006.0,66.0,0.001699477661139003,49.76714843551904
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,3397857,414760,111390,676,438,3514,251,1140300,486801,653499,860212,72955,20623,865913,69912,8092,2247001,993.0,70.0,0.0020557214319629116,57.0836395618153
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,1822626,47838,67405,245,87,98,75,734724,370942,363782,399831,2294,10219,505950,37357,4300,992130,993.0,72.0,0.0022138838318519188,51.080478281284755
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,307120,8256,22940,175,39120,85,206,103528,14071,89457,61688,210608,273,46875,5067,455,222399,1059.0,73.0,0.0012029717367739207,58.79993654654575
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,507967,105737,44062,151,34717,307,70,192621,42184,150437,114968,179426,997,81601,10310,848,445280,1035.0,75.0,0.001221995339701735,64.1662835922628
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,736015,49258,39258,245,49420,106,808,264077,44906,219171,140168,344835,948,133744,10393,1118,509156,1045.0,74.0,0.0012762542508513118,58.1227647000403
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,1512801,152791,53622,499,2128,362,430,506637,217016,289621,338094,431944,6394,314567,36186,2817,1027561,1039.0,79.0,0.0016323441725544824,59.543244951872786
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,3922718,411313,10076,12057,4049,21508,384,903823,406852,496971,991325,7255,27183,536402,82012,5982,3028953,1151.0,61.0,0.0013537621212289226,68.54700498800918
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,2904140,729283,7635,5875,2582,2805,91,858059,275942,582117,755254,629,13634,268120,58336,4290,2499528,1134.0,57.0,0.0011676999495629835,68.03493518720897
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,5102041,796756,13782,4377,4391,2247,305,1248570,265304,983266,1309851,7955,24122,391542,85491,7224,3842484,1110.0,62.0,0.0012132223093847885,64.53193953840116
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,1985654,401678,2536,869,1817,235,33,566590,65031,501559,591125,746,2509,99581,27308,2797,1610490,1023.0,62.0,0.0011664431366268982,67.1628533109136
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,1273546,101963,1004,371,332,228,444,314274,58438,255836,391622,150,2404,65479,14279,1510,937522,1157.0,67.0,0.0010945637873356795,67.95878351195502
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,3878626,718692,3810,719,5652,183,226,971458,80434,891024,1171378,9327,6652,183381,47324,5419,3241881,981.0,60.0,0.0011744911531708553,70.26315840805842
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,917474,364583,1840,483,161,16139,25,316046,69991,246055,149060,14,2989,119121,19999,1514,886353,1161.0,61.0,0.001161891196640492,68.02151570778666
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,2291892,1169330,6400,8212,2793,1177,38,760262,61742,698520,509307,11159,2681,85814,35463,3060,2335571,1122.0,40.0,0.0008773612414489535,66.96534222392725
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,3004240,213440,4463,892,1595,233,64,629381,64454,564927,494698,110114,4672,119972,42969,3634,2220291,1068.0,61.0,0.0011216831791353347,68.53228033807297
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1333242,805975,3228,900,1866,198,87,445838,35768,410070,277212,24887,1551,57400,15510,2174,1388412,1078.0,40.0,0.001011791042344898,64.61742523846202
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,1637549,157612,1367,231,168,916,50,445625,67569,378056,387855,163,1655,73522,18612,1949,1097721,1159.0,56.0,0.0010831328046415215,61.00449591810649
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,2505444,737106,4857,2090,1553,3016,211,714908,79068,635840,864559,610,3159,108116,26293,3230,2067849,1099.0,52.0,0.0009905851475404508,63.41735315035212
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,2830768,1536534,14822,28187,4371,931,339,994411,362798,631613,557150,3227,15164,272830,56575,5126,3046388,1128.0,49.0,0.0011523350520944915,68.48341152321564
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,2082976,364510,3493,900,9753,107,99,545025,31065,513960,513959,3620,3423,108101,30244,2775,1680776,1038.0,57.0,0.0011260054924721967,68.20046874289906
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,2032081,1585210,6184,50624,1736,2134,41,908523,224648,683875,787444,3058,7303,268353,37341,4310,2594677,1091.0,58.0,0.0011703328497224736,70.45558532527514
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,2707195,777407,4088,2765,669,1572,86,880077,221628,658449,725600,198,7865,223922,38225,4534,2325911,1116.0,58.0,0.001295735475631228,66.47034397575882
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,1727869,215081,2153,1389,340,100,1175,395759,50822,344937,446786,41725,3492,99602,20762,2183,1300213,1089.0,60.0,0.0011179072039722321,66.58348508467007
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,955372,34559,693,63,101,285,27,230795,23558,207237,266655,366,827,41046,9437,1019,597533,1137.0,54.0,0.0010274974035271696,60.25158057132486
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,2730957,358539,3626,818,1182,209,146,665706,67928,597778,468663,109894,4469,150001,36068,3643,2224700,983.0,60.0,0.0011748027859885338,71.74262305760887
